Data Source;World Development Indicators;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Last Updated Date;7/10/2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Aruba;ABW;People using at least basic drinking water services, urban (% of urban population);SH.H2O.BASW.UR.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Africa Eastern and Southern;AFE;People using at least basic drinking water services, urban (% of urban population);SH.H2O.BASW.UR.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;78,42750163;78,46194599;78,56241221;78,64078544;78,69531093;78,79393915;78,90542039;79,05342755;79,15803346;79,26423019;79,37182419;79,1999093;79,34055687;79,47980306;79,62291651;79,78046932;79,89542773;79,94485561;80,08564721;80,1869928;80,25576725;80,30512938;80,34048769;;
Afghanistan;AFG;People using at least basic drinking water services, urban (% of urban population);SH.H2O.BASW.UR.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54,60647777;54,60647777;56,53995952;58,47344127;60,40692302;62,34040477;64,27388652;66,45653908;68,65374491;70,86550402;73,09181642;75,33268209;77,58810104;79,85807328;82,14259879;84,44167759;86,75530967;89,08349502;91,42623366;93,78352558;96,15537078;98,54176926;98,98636317;;
Africa Western and Central;AFW;People using at least basic drinking water services, urban (% of urban population);SH.H2O.BASW.UR.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;75,77879265;76,06160562;76,62813119;77,20901066;77,80415992;78,41265952;79,03084534;79,65947421;80,29694012;80,94949635;81,61380762;82,29869022;82,99515358;83,70389074;84,42092439;85,14809064;85,87737015;86,6125093;87,40084428;88,14706978;88,89666164;89,65995535;90,51715242;;
Angola;AGO;People using at least basic drinking water services, urban (% of urban population);SH.H2O.BASW.UR.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;61,06652686;61,95115679;62,83578671;63,44901485;64,05470726;64,65286393;65,24348486;65,82657006;66,40211952;66,97013324;67,53061123;68,08355348;68,62896;69,16683077;69,69716582;70,21996512;70,73522869;71,24295652;71,74314862;71,74314862;71,74314862;71,74314862;71,74314862;;
Albania;ALB;People using at least basic drinking water services, urban (% of urban population);SH.H2O.BASW.UR.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;94,73495286;94,78480855;94,834305;94,8834422;94,93222014;94,98063883;95,02869828;95,07639847;95,12373941;95,1707211;95,21734354;95,26360672;95,30951066;95,35505535;95,40024078;95,44506696;95,4895339;95,53364158;95,57739001;95,62077919;95,66380912;95,66380912;95,66380912;;
Andorra;AND;People using at least basic drinking water services, urban (% of urban population);SH.H2O.BASW.UR.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;;
Arab World;ARB;People using at least basic drinking water services, urban (% of urban population);SH.H2O.BASW.UR.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;91,65564938;91,72447385;91,80346122;91,88988246;91,97621647;92,11615949;92,26883232;92,49071214;92,62306529;92,74670069;92,87048629;93,01835053;93,18682024;93,34015901;93,48988313;94,17179514;94,29800792;94,39364826;94,6334131;94,7294893;94,81922241;94,8723198;94,87616534;;
United Arab Emirates;ARE;People using at least basic drinking water services, urban (% of urban population);SH.H2O.BASW.UR.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99,524;99,524;99,552;99,58;99,608;99,636;99,664;99,692;99,72;99,748;99,776;99,804;99,832;99,86;99,888;99,916;99,944;99,972;100;100;100;100;100;;
Argentina;ARG;People using at least basic drinking water services, urban (% of urban population);SH.H2O.BASW.UR.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;98,70544453;98,76103797;98,8166314;98,87222484;98,92781828;98,98341171;99,03900515;99,09459858;99,15019202;99,20578546;99,26137889;99,31697233;99,37256577;99,4281592;99,48375264;99,53934608;99,59493951;99,65053295;99,70612639;99,76171982;99,81731326;99,81731326;99,81731326;;
