Country Name,Country Code,Indicator Name,Indicator Code,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Africa Eastern and Southern,AFE,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,5.886537846,6.406822425,6.443953553,6.353892126,6.167488229,6.161271366,5.82088066,5.971390592,6.067786409,5.92901714,5.789154817,5.812675719
Afghanistan,AFG,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,10.25649548,9.81848717,8.56967163,8.56190777,7.89716864,8.80596447,9.52887821,10.10534763,11.81859016,12.62081718,14.20841885,14.83131981
Africa Western and Central,AFW,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,3.65487135,3.774409592,3.533436083,3.509177809,3.481156537,3.609185149,3.637259251,3.8720409,3.834696234,3.742528582,3.304624504,3.328975401
Angola,AGO,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,3.32290339,3.84260798,2.69509959,2.64560771,2.39574957,2.73282695,2.43412876,2.60579467,2.71314979,2.79383755,2.59482241,2.47518778
Albania,ALB,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,5.50900269,5.82603931,6.23667669,6.18297672,6.15746212,6.28286266,6.43451118,6.46411896,6.7293272,6.57848787,6.66844559,6.86214113
Andorra,AND,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,5.67066383,6.08094168,7.67537737,7.62060833,6.71083689,6.79964209,6.77308035,6.91586447,6.90521765,7.07142639,7.37541723,7.323246
Arab World,ARB,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,3.37084066,4.297858132,3.89077746,3.804713568,3.904263541,4.164114306,4.48885413,4.980510296,5.259833892,5.13032434,4.849596872,4.955844292
United Arab Emirates,ARE,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2.92857623,4.05000162,3.74433136,3.56666398,3.33596373,3.50222182,3.53405499,3.46609354,3.89580107,4.00854969,4.09854221,4.40291262
Argentina,ARG,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,8.1826973,9.45599556,9.44546413,9.41819859,9.82726669,9.78097916,9.67129993,10.22933674,9.85558891,10.23174763,10.29146862,10.1555109
Armenia,ARM,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,6.63976622,8.44377708,9.23538303,9.37588882,9.13455009,10.32345009,10.17827892,10.11762714,9.95194912,10.36270332,10.00543404,11.3798008
Antigua and Barbuda,ATG,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,4.20027018,4.17732763,5.37907028,5.44257212,5.47921467,5.50909233,5.87269926,5.27965546,5.12190151,4.87493944,4.85204983,4.40662289
Australia,AUS,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,8.24737453,8.54235363,8.41878414,8.53360462,8.66922569,8.74458122,9.82490253,10.17367649,10.08972931,10.11242294,10.05163097,10.21285057
Austria,AUT,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,9.72564602,10.22582531,10.22101879,10.02613258,10.19915581,10.28574848,10.36809158,10.36746693,10.3522625,10.38402557,10.34885597,10.48753643
Azerbaijan,AZE,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2.04814458,2.76541352,2.64634848,2.59547186,3.15682149,3.22551084,3.58703041,4.34131384,4.42241955,4.07396507,3.83661342,4.18188763
Burundi,BDI,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,7.74147511,9.23238468,11.28196716,10.06996346,8.63756466,8.62834644,7.21081543,6.29022646,7.06148243,6.95275736,7.29396152,9.05010796
Belgium,BEL,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,9.59315872,10.31897831,10.20009708,10.3613987,10.50250053,10.57460022,10.6084671,10.79679203,10.79323006,10.80117512,10.86121368,10.75969219
Benin,BEN,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2.65178108,2.88892651,3.00988984,2.99707985,3.07562971,2.86880755,2.69111967,2.72813416,2.79549599,2.66813827,2.88632035,2.50914454
Burkina Faso,BFA,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,4.64780712,5.08159161,5.23958349,4.64868164,4.60267258,5.56331587,5.00027227,5.13192415,5.95486307,6.05965996,4.9995389,5.36802721
Bangladesh,BGD,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2.11878848,2.18321705,2.28807664,2.36418128,2.3537879,2.29574466,2.27915168,2.27217698,2.38938212,2.36720181,2.31622243,2.25762248
