Data Source;World Development Indicators;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Last Updated Date;7/10/2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Aruba;ABW;Total greenhouse gas emissions including LULUCF (Mt CO2e);EN.GHG.ALL.LU.MT.CE.AR5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Africa Eastern and Southern;AFE;Total greenhouse gas emissions including LULUCF (Mt CO2e);EN.GHG.ALL.LU.MT.CE.AR5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1378,965319;1430,556336;1476,483324;1524,748406;1609,506322;1686,351748;1689,82981;1761,588349;1838,340576;1827,963215;1901,161182;2041,05186;2099,943154;2116,608982;2174,071849;1647,336418;1659,415221;1698,146022;1727,080408;1753,197308;1693,522708;1715,718708;1715,843208;;
Afghanistan;AFG;Total greenhouse gas emissions including LULUCF (Mt CO2e);EN.GHG.ALL.LU.MT.CE.AR5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24,4617;22,7525;25,303;25,8831;25,8435;26,1174;26,3114;27,403;30,6631;33,6092;37,483;41,5627;39,4392;37,8004;37,9661;37,9543;37,18;38,2379;38,0993;37,5288;37,1923;38,1891;39,1601;40,0061;
Africa Western and Central;AFW;Total greenhouse gas emissions including LULUCF (Mt CO2e);EN.GHG.ALL.LU.MT.CE.AR5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;330,4807455;347,950746;290,8885564;346,9814878;353,3060192;357,9317296;343,314805;328,5365124;347,5222769;383,6462802;389,5468585;408,3580219;464,7075473;467,8292212;599,2749012;616,3715223;633,712016;665,1129441;696,5769414;736,5825944;725,6541004;741,7263304;749,1123304;;
Angola;AGO;Total greenhouse gas emissions including LULUCF (Mt CO2e);EN.GHG.ALL.LU.MT.CE.AR5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;107,0858;104,9023;103,0686;103,2479;108,4465;106,5111;99,1458;97,7539;101,1461;102,8139;109,7909;139,0805;141,0086;145,6211;147,7282;152,1354;149,3069;143,8311;139,9142;140,3204;132,0897;134,8186;137,6204;138,1104;
Albania;ALB;Total greenhouse gas emissions including LULUCF (Mt CO2e);EN.GHG.ALL.LU.MT.CE.AR5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13,0172;13,2049;13,8269;14,0159;14,2246;13,8149;13,8602;13,8145;13,599;13,5781;9,6902;12,8507;13,513;9,7694;10,1243;10,0117;9,7021;10,5097;10,4984;9,9642;9,313;9,7409;9,1576;9,0193;
Andorra;AND;Total greenhouse gas emissions including LULUCF (Mt CO2e);EN.GHG.ALL.LU.MT.CE.AR5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Arab World;ARB;Total greenhouse gas emissions including LULUCF (Mt CO2e);EN.GHG.ALL.LU.MT.CE.AR5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1121,63515;1143,450633;1167,083687;1236,21151;1281,652383;1363,3292;1419,369841;1457,807532;1547,062183;1570,274194;1638,181854;1682,779755;1746,237526;1770,644587;1834,856148;1880,694358;1896,084898;1897,841048;1886,855968;1921,463168;1885,133968;1939,938368;1999,145168;;
United Arab Emirates;ARE;Total greenhouse gas emissions including LULUCF (Mt CO2e);EN.GHG.ALL.LU.MT.CE.AR5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;116,1622;128,68;130,2515;138,3483;144,9905;154,46;161,2682;171,7812;199,3392;200,4458;208,6393;216,3315;225,6686;237,3874;240,78;252,9158;260,9196;253,0434;237,4897;250,5169;248,25;255,8912;266,5592;266,7495;
Argentina;ARG;Total greenhouse gas emissions including LULUCF (Mt CO2e);EN.GHG.ALL.LU.MT.CE.AR5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;373,4589;367,063;381,0741;401,1695;428,3678;420,3361;450,6372;466,7523;444,2596;397,5928;406,6064;390,8341;435,7877;438,7281;409,797;395,1031;390,9239;400,5889;401,1314;368,7133;415,1968;419,4225;421,7943;412,7176;
Armenia;ARM;Total greenhouse gas emissions including LULUCF (Mt CO2e);EN.GHG.ALL.LU.MT.CE.AR5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5,5246;5,6864;5,2317;6,6004;6,1343;6,8537;6,8257;7,5617;8,0438;6,7661;6,5138;7,1451;8,0378;8,063;8,416;8,345;8,1698;8,3975;8,5245;9,0009;9,523;10,2008;9,8939;10,3657;
American Samoa;ASM;Total greenhouse gas emissions including LULUCF (Mt CO2e);EN.GHG.ALL.LU.MT.CE.AR5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Antigua and Barbuda;ATG;Total greenhouse gas emissions including LULUCF (Mt CO2e);EN.GHG.ALL.LU.MT.CE.AR5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,4166;0,4141;0,4318;0,4462;0,4498;0,4562;0,4798;0,4982;0,5158;0,5483;0,5384;0,4703;0,4845;0,5182;0,5389;0,5504;0,5753;0,5372;0,555;0,5987;0,5328;0,5625;0,5638;0,5801;
Australia;AUS;Total greenhouse gas emissions including LULUCF (Mt CO2e);EN.GHG.ALL.LU.MT.CE.AR5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;591,9159;610,2984;619,2259;608,4748;598,3452;628,3905;662,7015;645,8277;632,3046;632,4858;643,8945;616,0435;594,3439;600,8677;580,176;570,4015;522,7783;562,9167;533,7263;526,8874;504,4781;471,912;464,6779;476,0153;
Austria;AUT;Total greenhouse gas emissions including LULUCF (Mt CO2e);EN.GHG.ALL.LU.MT.CE.AR5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;65,2347;63,7805;74,1717;84,6114;79,6053;80,7545;85,0664;82,4128;80,2473;73,0207;76,9761;75,9478;74,4529;79,4096;70,9741;77,8659;74,3764;80,517;83,8235;89,2458;76,1111;77,1521;74,9931;80,2448;
Azerbaijan;AZE;Total greenhouse gas emissions including LULUCF (Mt CO2e);EN.GHG.ALL.LU.MT.CE.AR5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;34,3236;33,6924;33,5539;36,3721;36,3805;39,3023;41,068;41,5227;46,0551;40,4302;39,4124;41,8234;44,9192;46,157;47,9694;47,8311;47,5962;47,3565;48,0689;50,8482;49,1924;51,5951;53,8117;57,3357;
Burundi;BDI;Total greenhouse gas emissions including LULUCF (Mt CO2e);EN.GHG.ALL.LU.MT.CE.AR5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,5086;1,459;1,4289;1,4689;1,621;1,7358;-0,2763;-2,3068;-4,3451;-5,7491;-6,048;-6,4901;-7,1603;-6,7491;-7,4785;-7,8877;-8,2893;-8,1686;-8,4752;-9,3083;-9,3818;-8,583;-8,4222;-8,3693;
Belgium;BEL;Total greenhouse gas emissions including LULUCF (Mt CO2e);EN.GHG.ALL.LU.MT.CE.AR5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;149,4465;149,7815;141,3187;145,1036;144,2562;141,165;137,6803;135,2494;137,1341;129,8368;139,0953;128,7795;126,8587;127,8459;120,997;125,8304;124,9154;123,0146;123,5003;123,2713;115,3631;119,3652;111,7068;106,0069;
Benin;BEN;Total greenhouse gas emissions including LULUCF (Mt CO2e);EN.GHG.ALL.LU.MT.CE.AR5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3,2596;4,3271;5,3118;6,1992;7,0493;6,9975;8,7509;9,961;10,5784;11,6096;6,8456;7,9825;7,6437;8,8206;8,961;9,6434;11,3454;11,6838;13,188;13,2076;13,693;12,0588;12,6552;12,7397;
Burkina Faso;BFA;Total greenhouse gas emissions including LULUCF (Mt CO2e);EN.GHG.ALL.LU.MT.CE.AR5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40,076;42,6477;44,0231;48,29;49,5631;51,1439;52,5724;54,4484;56,4467;57,7709;60,0373;61,7394;61,8613;65,2542;64,6613;68,3292;69,0515;70,1216;71,2377;72,5821;68,9637;73,7835;74,16;74,5958;
