Country Name,Country Code,Indicator Name,Indicator Code,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Africa Eastern and Southern,AFE,Total greenhouse gas emissions including LULUCF (Mt CO2e),EN.GHG.ALL.LU.MT.CE.AR5,1838.340576,1827.963215,1901.161182,2041.05186,2099.943154,2116.608982,2174.071849,1647.336418,1659.415221,1698.146022,1727.080408,1753.197308
Afghanistan,AFG,Total greenhouse gas emissions including LULUCF (Mt CO2e),EN.GHG.ALL.LU.MT.CE.AR5,30.6631,33.6092,37.483,41.5627,39.4392,37.8004,37.9661,37.9543,37.18,38.2379,38.0993,37.5288
Africa Western and Central,AFW,Total greenhouse gas emissions including LULUCF (Mt CO2e),EN.GHG.ALL.LU.MT.CE.AR5,347.5222769,383.6462802,389.5468585,408.3580219,464.7075473,467.8292212,599.2749012,616.3715223,633.712016,665.1129441,696.5769414,736.5825944
Angola,AGO,Total greenhouse gas emissions including LULUCF (Mt CO2e),EN.GHG.ALL.LU.MT.CE.AR5,101.1461,102.8139,109.7909,139.0805,141.0086,145.6211,147.7282,152.1354,149.3069,143.8311,139.9142,140.3204
Albania,ALB,Total greenhouse gas emissions including LULUCF (Mt CO2e),EN.GHG.ALL.LU.MT.CE.AR5,13.599,13.5781,9.6902,12.8507,13.513,9.7694,10.1243,10.0117,9.7021,10.5097,10.4984,9.9642
Arab World,ARB,Total greenhouse gas emissions including LULUCF (Mt CO2e),EN.GHG.ALL.LU.MT.CE.AR5,1547.062183,1570.274194,1638.181854,1682.779755,1746.237526,1770.644587,1834.856148,1880.694358,1896.084898,1897.841048,1886.855968,1921.463168
United Arab Emirates,ARE,Total greenhouse gas emissions including LULUCF (Mt CO2e),EN.GHG.ALL.LU.MT.CE.AR5,199.3392,200.4458,208.6393,216.3315,225.6686,237.3874,240.78,252.9158,260.9196,253.0434,237.4897,250.5169
Argentina,ARG,Total greenhouse gas emissions including LULUCF (Mt CO2e),EN.GHG.ALL.LU.MT.CE.AR5,444.2596,397.5928,406.6064,390.8341,435.7877,438.7281,409.797,395.1031,390.9239,400.5889,401.1314,368.7133
Armenia,ARM,Total greenhouse gas emissions including LULUCF (Mt CO2e),EN.GHG.ALL.LU.MT.CE.AR5,8.0438,6.7661,6.5138,7.1451,8.0378,8.063,8.416,8.345,8.1698,8.3975,8.5245,9.0009
Antigua and Barbuda,ATG,Total greenhouse gas emissions including LULUCF (Mt CO2e),EN.GHG.ALL.LU.MT.CE.AR5,0.5158,0.5483,0.5384,0.4703,0.4845,0.5182,0.5389,0.5504,0.5753,0.5372,0.555,0.5987
Australia,AUS,Total greenhouse gas emissions including LULUCF (Mt CO2e),EN.GHG.ALL.LU.MT.CE.AR5,632.3046,632.4858,643.8945,616.0435,594.3439,600.8677,580.176,570.4015,522.7783,562.9167,533.7263,526.8874
Austria,AUT,Total greenhouse gas emissions including LULUCF (Mt CO2e),EN.GHG.ALL.LU.MT.CE.AR5,80.2473,73.0207,76.9761,75.9478,74.4529,79.4096,70.9741,77.8659,74.3764,80.517,83.8235,89.2458
Azerbaijan,AZE,Total greenhouse gas emissions including LULUCF (Mt CO2e),EN.GHG.ALL.LU.MT.CE.AR5,46.0551,40.4302,39.4124,41.8234,44.9192,46.157,47.9694,47.8311,47.5962,47.3565,48.0689,50.8482
Burundi,BDI,Total greenhouse gas emissions including LULUCF (Mt CO2e),EN.GHG.ALL.LU.MT.CE.AR5,-4.3451,-5.7491,-6.048,-6.4901,-7.1603,-6.7491,-7.4785,-7.8877,-8.2893,-8.1686,-8.4752,-9.3083
Belgium,BEL,Total greenhouse gas emissions including LULUCF (Mt CO2e),EN.GHG.ALL.LU.MT.CE.AR5,137.1341,129.8368,139.0953,128.7795,126.8587,127.8459,120.997,125.8304,124.9154,123.0146,123.5003,123.2713
Benin,BEN,Total greenhouse gas emissions including LULUCF (Mt CO2e),EN.GHG.ALL.LU.MT.CE.AR5,10.5784,11.6096,6.8456,7.9825,7.6437,8.8206,8.961,9.6434,11.3454,11.6838,13.188,13.2076
Burkina Faso,BFA,Total greenhouse gas emissions including LULUCF (Mt CO2e),EN.GHG.ALL.LU.MT.CE.AR5,56.4467,57.7709,60.0373,61.7394,61.8613,65.2542,64.6613,68.3292,69.0515,70.1216,71.2377,72.5821
Bangladesh,BGD,Total greenhouse gas emissions including LULUCF (Mt CO2e),EN.GHG.ALL.LU.MT.CE.AR5,186.8756,192.1282,200.5027,205.453,210.3813,213.2433,219.9526,228.9391,235.9931,247.9446,252.9384,256.2213
Bulgaria,BGR,Total greenhouse gas emissions including LULUCF (Mt CO2e),EN.GHG.ALL.LU.MT.CE.AR5,55.8874,47.4162,50.7421,59.5862,54.7005,50.4166,51.7884,56.1005,51.7872,54.1724,50.4353,49.0805
Bahrain,BHR,Total greenhouse gas emissions including LULUCF (Mt CO2e),EN.GHG.ALL.LU.MT.CE.AR5,47.3435,47.9264,48.2684,48.6367,52.3998,56.969,58.8021,58.9858,59.2182,59.0537,59.1128,62.9953
Bahamas The,BHS,Total greenhouse gas emissions including LULUCF (Mt CO2e),EN.GHG.ALL.LU.MT.CE.AR5,2.6316,2.392,4.6351,4.2125,4.3796,4.4623,4.5089,4.4323,4.563,4.7001,4.8705,5.108
Bosnia and Herzegovina,BIH,Total greenhouse gas emissions including LULUCF (Mt CO2e),EN.GHG.ALL.LU.MT.CE.AR5,20.6102,19.7913,22.6516,25.72,21.9665,23.1878,21.465,21.421,24.8288,25.4314,25.834,24.1278
Belarus,BLR,Total greenhouse gas emissions including LULUCF (Mt CO2e),EN.GHG.ALL.LU.MT.CE.AR5,58.2092,52.3694,53.7471,51.737,54.9532,53.2103,53.1517,50.5928,53.9578,59.3512,60.0253,62.2415
Belize,BLZ,Total greenhouse gas emissions including LULUCF (Mt CO2e),EN.GHG.ALL.LU.MT.CE.AR5,-11.2594,-9.4821,-11.6014,-3.4214,-7.2446,-5.3436,-8.9631,-5.6899,-5.9736,-6.2393,-10.4016,-8.0022
Bolivia,BOL,Total greenhouse gas emissions including LULUCF (Mt CO2e),EN.GHG.ALL.LU.MT.CE.AR5,72.3073,73.7073,77.0636,77.8365,79.5848,81.3876,82.4143,83.378,85.127,85.7626,86.4142,87.3187
Brazil,BRA,Total greenhouse gas emissions including LULUCF (Mt CO2e),EN.GHG.ALL.LU.MT.CE.AR5,1974.538,1353.7209,1368.7778,1456.6382,1345.4621,1610.254,1497.153,1590.139,1626.2028,1518.5295,1542.2667,1743.2653
Barbados,BRB,Total greenhouse gas emissions including LULUCF (Mt CO2e),EN.GHG.ALL.LU.MT.CE.AR5,0.9526,0.945,0.9616,0.8206,0.78,0.8644,0.8019,0.8535,0.9083,0.8184,0.876,0.9727
Brunei Darussalam,BRN,Total greenhouse gas emissions including LULUCF (Mt CO2e),EN.GHG.ALL.LU.MT.CE.AR5,8.9516,7.0626,6.0223,6.3834,6.3138,6.0902,6.4823,6.2993,6.8228,5.6684,6.3769,6.7265
Bhutan,BTN,Total greenhouse gas emissions including LULUCF (Mt CO2e),EN.GHG.ALL.LU.MT.CE.AR5,-10.2445,-10.0651,-9.9443,-9.7115,-9.7786,-9.6604,-9.6185,-9.428,-9.2707,-9.1122,-8.8446,-8.6801
Botswana,BWA,Total greenhouse gas emissions including LULUCF (Mt CO2e),EN.GHG.ALL.LU.MT.CE.AR5,7.4247,7.2401,7.0854,7.4893,6.6538,8.6067,9.7647,10.2096,9.327,9.6097,10.6126,9.349
Central African Republic,CAF,Total greenhouse gas emissions including LULUCF (Mt CO2e),EN.GHG.ALL.LU.MT.CE.AR5,-158.1017,-158.7374,-158.1088,-154.1517,-154.1209,-158.0092,-160.0033,-157.0472,-151.7556,-148.4359,-148.0946,-148.2806
Canada,CAN,Total greenhouse gas emissions including LULUCF (Mt CO2e),EN.GHG.ALL.LU.MT.CE.AR5,784.1832,714.2194,763.7343,785.1391,765.925,778.5785,767.0432,800.0263,777.9594,790.4012,816.9648,801.5636
Central Europe and the Baltics,CEB,Total greenhouse gas emissions including LULUCF (Mt CO2e),EN.GHG.ALL.LU.MT.CE.AR5,876.2766269,807.2279234,835.1442352,836.2311055,806.5265936,782.558162,772.4459594,788.1129044,790.735914,821.4139215,831.541724,809.3033629
Switzerland,CHE,Total greenhouse gas emissions including LULUCF (Mt CO2e),EN.GHG.ALL.LU.MT.CE.AR5,53.1448,50.923,52.7394,47.5782,51.8713,53.3252,45.9092,50.4359,46.5413,47.0113,48.6611,44.203
Chile,CHL,Total greenhouse gas emissions including LULUCF (Mt CO2e),EN.GHG.ALL.LU.MT.CE.AR5,49.9675,42.1575,37.127,48.0522,58.0337,53.9572,49.4981,66.0949,57.4357,135.278,72.2183,80.9598
China,CHN,Total greenhouse gas emissions including LULUCF (Mt CO2e),EN.GHG.ALL.LU.MT.CE.AR5,8943.1692,9516.758,10329.5873,11275.1811,11586.5646,12086.4116,12198.456,11980.9208,11926.8097,12142.4819,12694.9261,12973.8335
Cote d'Ivoire,CIV,Total greenhouse gas emissions including LULUCF (Mt CO2e),EN.GHG.ALL.LU.MT.CE.AR5,92.3044,94.5057,94.7002,96.8732,99.3474,101.6591,103.1352,93.2435,91.1529,88.8956,85.2982,87.1778
Cameroon,CMR,Total greenhouse gas emissions including LULUCF (Mt CO2e),EN.GHG.ALL.LU.MT.CE.AR5,-46.7209,-45.9358,-46.3125,-46.6932,-45.9291,-43.919,-41.6382,-38.605,-38.4061,-39.6573,-39.2993,-38.5976
Congo Dem. Rep.,COD,Total greenhouse gas emissions including LULUCF (Mt CO2e),EN.GHG.ALL.LU.MT.CE.AR5,444.2925,444.3381,447.4106,555.0035,561.6635,565.2824,569.0967,47.7873,48.2614,50.8983,50.2948,51.8934
Congo Rep.,COG,Total greenhouse gas emissions including LULUCF (Mt CO2e),EN.GHG.ALL.LU.MT.CE.AR5,-0.2237,0.966,2.2792,0.9096,-0.3517,-1.4219,-1.4793,-5.7523,-10.1638,-8.3977,-4.4872,-3.3318
Colombia,COL,Total greenhouse gas emissions including LULUCF (Mt CO2e),EN.GHG.ALL.LU.MT.CE.AR5,240.787,238.6591,244.2901,258.0333,255.2451,247.5392,252.7746,246.9536,277.592,297.2419,299.6667,286.755
Comoros,COM,Total greenhouse gas emissions including LULUCF (Mt CO2e),EN.GHG.ALL.LU.MT.CE.AR5,-1.6562,-1.6018,-1.5344,-1.5022,-1.4501,-1.3731,-1.3489,-1.3522,-1.3362,-1.2934,-1.2835,-1.2499
Cabo Verde,CPV,Total greenhouse gas emissions including LULUCF (Mt CO2e),EN.GHG.ALL.LU.MT.CE.AR5,0.8674,0.8539,0.8987,1.0323,0.9163,0.9059,0.9493,0.9649,1.0011,1.0261,1.0239,1.0743
Costa Rica,CRI,Total greenhouse gas emissions including LULUCF (Mt CO2e),EN.GHG.ALL.LU.MT.CE.AR5,17.972,17.4589,17.2727,17.2535,18.0358,19.0502,13.148,14.6913,13.4173,12.3793,12.8906,12.7823
Caribbean small states,CSS,Total greenhouse gas emissions including LULUCF (Mt CO2e),EN.GHG.ALL.LU.MT.CE.AR5,-120.5339361,-121.2038731,-116.3923818,-110.8965157,-112.1084113,-113.8645413,-109.457142,-115.2868462,-121.2754095,-126.3524469,-126.5612882,-118.6741205
Cuba,CUB,Total greenhouse gas emissions including LULUCF (Mt CO2e),EN.GHG.ALL.LU.MT.CE.AR5,24.6973,24.3012,24.0183,24.2495,24.7927,23.6771,20.6955,22.3325,20.0199,18.059,17.7106,16.1185
Cyprus,CYP,Total greenhouse gas emissions including LULUCF (Mt CO2e),EN.GHG.ALL.LU.MT.CE.AR5,9.3596,9.1287,9.1926,8.9123,8.3161,7.5928,7.9823,8.0683,8.5939,8.6886,8.9282,9.4514
Czechia,CZE,Total greenhouse gas emissions including LULUCF (Mt CO2e),EN.GHG.ALL.LU.MT.CE.AR5,141.1547,134.4159,136.8907,133.8332,129.2974,125.3509,123.4626,124.967,126.9934,129.2577,132.6979,132.6025
Germany,DEU,Total greenhouse gas emissions including LULUCF (Mt CO2e),EN.GHG.ALL.LU.MT.CE.AR5,950.815,888.8802,939.5093,904.3608,918.8692,933.4453,904.871,905.0607,911.122,888.7698,937.7637,873.169
Djibouti,DJI,Total greenhouse gas emissions including LULUCF (Mt CO2e),EN.GHG.ALL.LU.MT.CE.AR5,0.5336,0.4261,-4.9936,-5.1659,-4.9689,-4.8736,-4.8619,-4.9368,-4.9592,-5.0232,-4.962,-4.9591
Dominica,DMA,Total greenhouse gas emissions including LULUCF (Mt CO2e),EN.GHG.ALL.LU.MT.CE.AR5,0.0082,0.0099,0.0128,-1.3204,-1.3248,-1.3192,-1.3116,-1.3061,-1.3005,-2.6267,-2.6207,-2.6112
Denmark,DNK,Total greenhouse gas emissions including LULUCF (Mt CO2e),EN.GHG.ALL.LU.MT.CE.AR5,68.737,65.7421,65.0763,59.0323,53.5745,55.4209,51.5826,48.6881,51.5229,49.1967,51.2341,46.903
Dominican Republic,DOM,Total greenhouse gas emissions including LULUCF (Mt CO2e),EN.GHG.ALL.LU.MT.CE.AR5,35.4829,35.1318,36.5034,36.8446,37.6938,37.3827,37.8997,40.295,41.6983,40.9754,43.4071,46.4911
Algeria,DZA,Total greenhouse gas emissions including LULUCF (Mt CO2e),EN.GHG.ALL.LU.MT.CE.AR5,171.161,166.9808,174.6635,180.8291,199.5007,201.3039,214.8173,223.7931,222.1341,228.4447,236.5571,242.6707
