country_id,country_name,country_code,region
1,Angola,AGO,Africa
2,Albania,ALB,Europe and Central Asia
3,Andorra,AND,Europe and Central Asia
4,Arab World,ARB,REGION
5,United Arab Emirates,ARE,"Middle East, North Africa, Afghanistan & Pakistan"
6,Argentina,ARG,Latin America and the Caribbean
7,Armenia,ARM,Europe and Central Asia
8,American Samoa,ASM,OCEANIA
9,Antigua and Barbuda,ATG,Latin America and the Caribbean
10,Australia,AUS,OCEANIA
11,Austria,AUT,Europe and Central Asia
12,Azerbaijan,AZE,Europe and Central Asia
13,Burundi,BDI,Africa
14,Belgium,BEL,Europe and Central Asia
15,Benin,BEN,Africa
16,Burkina Faso,BFA,Africa
17,Bangladesh,BGD,South Asia
18,Bulgaria,BGR,Europe and Central Asia
19,Bahrain,BHR,"Middle East, North Africa, Afghanistan & Pakistan"
20,Bahamas The,BHS,Latin America and the Caribbean
21,Bosnia and Herzegovina,BIH,Europe and Central Asia
22,Belarus,BLR,Europe and Central Asia
23,Belize,BLZ,Latin America and the Caribbean
24,Bermuda,BMU,Latin America and the Caribbean
25,Bolivia,BOL,Latin America and the Caribbean
26,Brazil,BRA,Latin America and the Caribbean
27,Barbados,BRB,Latin America and the Caribbean
28,Brunei Darussalam,BRN,East Asia and Pacific
29,Bhutan,BTN,South Asia
30,Botswana,BWA,Africa
31,Central African Republic,CAF,Africa
32,Canada,CAN,North America
33,Central Europe and the Baltics,CEB,REGION
34,Switzerland,CHE,Europe and Central Asia
35,Channel Islands,CHI,Europe and Central Asia
36,Chile,CHL,Latin America and the Caribbean
37,China,CHN,East Asia and Pacific
38,Cote d'Ivoire,CIV,Africa
39,Cameroon,CMR,Africa
40,Congo Dem. Rep.,COD,Africa
41,Congo Rep.,COG,Africa
42,Colombia,COL,Latin America and the Caribbean
43,Comoros,COM,Africa
44,Cabo Verde,CPV,Africa
45,Costa Rica,CRI,Latin America and the Caribbean
46,Caribbean small states,CSS,REGION
47,Cuba,CUB,Latin America and the Caribbean
48,Curacao,CUW,Latin America and the Caribbean
49,Cayman Islands,CYM,Latin America and the Caribbean
50,Cyprus,CYP,Europe and Central Asia
51,Czechia,CZE,Europe and Central Asia
52,Germany,DEU,Europe and Central Asia
53,Djibouti,DJI,"Middle East, North Africa, Afghanistan & Pakistan"
54,Dominica,DMA,Latin America and the Caribbean
55,Denmark,DNK,Europe and Central Asia
56,Dominican Republic,DOM,Latin America and the Caribbean
