Data Source;World Development Indicators;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Last Updated Date;7/10/2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Aruba;ABW;People using safely managed sanitation services, rural (% of rural population);SH.STA.SMSS.RU.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Africa Eastern and Southern;AFE;People using safely managed sanitation services, rural (% of rural population);SH.STA.SMSS.RU.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10,95455599;11,20840417;11,4732104;11,7538229;12,03089578;12,40703539;12,77155498;13,1313047;13,50385822;13,88021739;14,25522933;14,61986591;14,97556433;15,32842623;15,6790897;16,0265203;16,37114147;16,71219086;17,04991603;17,38598241;17,73646812;18,03134758;18,23552384;;
Afghanistan;AFG;People using safely managed sanitation services, rural (% of rural population);SH.STA.SMSS.RU.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Africa Western and Central;AFW;People using safely managed sanitation services, rural (% of rural population);SH.STA.SMSS.RU.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13,62962774;13,63493625;13,8542306;14,08454432;14,25134975;14,49131574;14,73516106;14,98040912;15,22513703;15,46992626;15,68223168;15,89116993;16,09866376;16,3032376;16,50383274;16,69895306;16,88900519;17,07702849;17,26169174;17,44476502;17,62604476;17,84700212;18,07812239;;
Angola;AGO;People using safely managed sanitation services, rural (% of rural population);SH.STA.SMSS.RU.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Albania;ALB;People using safely managed sanitation services, rural (% of rural population);SH.STA.SMSS.RU.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Andorra;AND;People using safely managed sanitation services, rural (% of rural population);SH.STA.SMSS.RU.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29,3102224;33,90393094;38,49763948;43,09134803;47,68505657;52,27876512;56,87247366;61,46618221;66,05989075;70,6535993;75,24730784;79,84101639;84,43472493;89,02843348;93,62214202;98,21585057;100;100;100;100;100;100;100;;
Arab World;ARB;People using safely managed sanitation services, rural (% of rural population);SH.STA.SMSS.RU.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
United Arab Emirates;ARE;People using safely managed sanitation services, rural (% of rural population);SH.STA.SMSS.RU.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;98,49185054;98,49185054;98,49185054;98,49185054;98,49185054;98,49185054;98,49185054;98,49185054;98,49185054;98,49185054;98,49185054;98,4943142;98,49677787;98,49924153;98,5017052;98,50416886;98,50663253;98,50909619;98,51155986;98,51402353;98,51648719;98,518265;98,518265;;
Argentina;ARG;People using safely managed sanitation services, rural (% of rural population);SH.STA.SMSS.RU.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Armenia;ARM;People using safely managed sanitation services, rural (% of rural population);SH.STA.SMSS.RU.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
American Samoa;ASM;People using safely managed sanitation services, rural (% of rural population);SH.STA.SMSS.RU.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Antigua and Barbuda;ATG;People using safely managed sanitation services, rural (% of rural population);SH.STA.SMSS.RU.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Australia;AUS;People using safely managed sanitation services, rural (% of rural population);SH.STA.SMSS.RU.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Austria;AUT;People using safely managed sanitation services, rural (% of rural population);SH.STA.SMSS.RU.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99,26269336;99,26271756;99,26274176;99,26274488;99,26274488;99,26274488;99,26274488;99,26274488;99,26274488;99,26274488;99,26274488;99,26274488;99,26274488;99,26274488;99,26274488;99,26274488;99,26274488;99,26274488;99,26274488;99,26274488;99,26274488;99,26274488;99,26274488;;
