Country Name,Country Code,Indicator Name,Indicator Code,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Africa Eastern and Southern,AFE,People using safely managed sanitation services rural (% of rural population),SH.STA.SMSS.RU.ZS,13.50385822,13.88021739,14.25522933,14.61986591,14.97556433,15.32842623,15.6790897,16.0265203,16.37114147,16.71219086,17.04991603,17.38598241
Africa Western and Central,AFW,People using safely managed sanitation services rural (% of rural population),SH.STA.SMSS.RU.ZS,15.22513703,15.46992626,15.68223168,15.89116993,16.09866376,16.3032376,16.50383274,16.69895306,16.88900519,17.07702849,17.26169174,17.44476502
Andorra,AND,People using safely managed sanitation services rural (% of rural population),SH.STA.SMSS.RU.ZS,66.05989075,70.6535993,75.24730784,79.84101639,84.43472493,89.02843348,93.62214202,98.21585057,100.0,100.0,100.0,100.0
United Arab Emirates,ARE,People using safely managed sanitation services rural (% of rural population),SH.STA.SMSS.RU.ZS,98.49185054,98.49185054,98.49185054,98.4943142,98.49677787,98.49924153,98.5017052,98.50416886,98.50663253,98.50909619,98.51155986,98.51402353
Austria,AUT,People using safely managed sanitation services rural (% of rural population),SH.STA.SMSS.RU.ZS,99.26274488,99.26274488,99.26274488,99.26274488,99.26274488,99.26274488,99.26274488,99.26274488,99.26274488,99.26274488,99.26274488,99.26274488
Benin,BEN,People using safely managed sanitation services rural (% of rural population),SH.STA.SMSS.RU.ZS,0.918415589,0.987911308,1.055800454,1.120339686,1.18671753,1.254933987,1.324989056,1.396882736,1.470615029,1.546185934,1.623595452,1.702843581
Burkina Faso,BFA,People using safely managed sanitation services rural (% of rural population),SH.STA.SMSS.RU.ZS,3.645068453,4.019139732,4.389650912,4.756601993,5.119992974,5.479823855,5.836094637,6.188805319,6.537955901,6.883546384,7.225576768,7.564047052
Bangladesh,BGD,People using safely managed sanitation services rural (% of rural population),SH.STA.SMSS.RU.ZS,13.09487536,13.88959645,14.69480004,15.51048615,16.33665478,17.17330592,18.70472145,20.31161028,21.99516352,23.75657226,25.59702758,27.51772059
Bulgaria,BGR,People using safely managed sanitation services rural (% of rural population),SH.STA.SMSS.RU.ZS,49.46349322,49.36740783,50.12379353,51.13846283,52.20362398,53.31953052,54.48643597,55.70459384,56.97425765,58.29568094,58.92045385,59.54720554
Belarus,BLR,People using safely managed sanitation services rural (% of rural population),SH.STA.SMSS.RU.ZS,65.76977648,64.26074667,62.76441633,61.28087039,59.81019378,58.35247142,56.90778827,55.47622924,54.05787928,52.98391694,51.90631492,50.82507323
Bhutan,BTN,People using safely managed sanitation services rural (% of rural population),SH.STA.SMSS.RU.ZS,43.20370237,44.4257551,45.56143651,46.69507015,47.82665602,48.95619412,50.08368445,51.20912701,52.3325218,53.45386882,54.57316808,55.69041956
Central African Republic,CAF,People using safely managed sanitation services rural (% of rural population),SH.STA.SMSS.RU.ZS,8.462656363,8.249992019,8.037431801,7.824975711,7.612623746,7.400375909,7.188232198,6.976192614,6.764257156,6.552425825,6.340698621,6.129075543
Canada,CAN,People using safely managed sanitation services rural (% of rural population),SH.STA.SMSS.RU.ZS,79.31686127,79.70362327,80.08968844,80.47505527,80.85972226,81.24368789,81.62695065,82.00950904,82.39136154,82.77250664,83.18111261,83.58939338
Switzerland,CHE,People using safely managed sanitation services rural (% of rural population),SH.STA.SMSS.RU.ZS,95.5473183,95.5473183,95.5473183,95.88923655,96.23115479,96.58510916,97.01729831,97.44948745,97.8816766,98.3090513,98.73040794,99.15176458
China,CHN,People using safely managed sanitation services rural (% of rural population),SH.STA.SMSS.RU.ZS,12.39625601,13.79243958,15.2762319,16.84789973,18.50770978,20.25592879,22.09282351,24.01866065,26.03370696,28.13822917,30.33249402,32.61676823
Cote d'Ivoire,CIV,People using safely managed sanitation services rural (% of rural population),SH.STA.SMSS.RU.ZS,7.546595415,7.982385027,8.426555715,8.879107481,9.340040324,9.809354244,10.28704924,10.77312532,11.26758247,11.7704207,12.28164001,12.80124039
Congo Dem. Rep.,COD,People using safely managed sanitation services rural (% of rural population),SH.STA.SMSS.RU.ZS,18.6939748,18.03944772,17.38993805,16.74544579,16.10597092,15.47151346,14.84207341,14.21765076,13.59824551,12.98385767,12.37448723,11.77013419
Costa Rica,CRI,People using safely managed sanitation services rural (% of rural population),SH.STA.SMSS.RU.ZS,34.56120223,34.60283207,34.64429022,34.71056681,34.77628845,34.8414398,34.90600545,34.9699699,35.03331758,35.09603281,35.15809987,35.21950292
Cuba,CUB,People using safely managed sanitation services rural (% of rural population),SH.STA.SMSS.RU.ZS,54.36224991,54.44884996,54.53215312,54.61215938,54.68886875,54.76228123,54.83239681,54.8992155,54.9627373,55.0229622,55.07989021,55.13352132
Germany,DEU,People using safely managed sanitation services rural (% of rural population),SH.STA.SMSS.RU.ZS,90.890846,90.94110548,90.99136496,91.04162444,91.09188391,91.14214339,91.19240287,91.24266235,91.29292183,91.34318131,91.39344079,91.39344079
Djibouti,DJI,People using safely managed sanitation services rural (% of rural population),SH.STA.SMSS.RU.ZS,13.5565264,14.21879208,14.88265673,15.54812033,16.2151829,16.88384442,17.5541049,18.22596434,18.89942274,19.5744801,20.25113641,20.92939169
Dominican Republic,DOM,People using safely managed sanitation services rural (% of rural population),SH.STA.SMSS.RU.ZS,54.89848066,54.39190064,53.88290755,53.37150138,52.85768213,52.3414498,51.8228044,51.30174592,50.77827437,50.25238974,49.72409203,49.19338124
Algeria,DZA,People using safely managed sanitation services rural (% of rural population),SH.STA.SMSS.RU.ZS,51.62612944,52.02886304,52.43159665,52.83433026,53.15619775,53.47684175,53.79626226,54.11445928,54.43143281,54.74718285,55.0617094,55.37501246
East Asia & Pacific (excluding high income),EAP,People using safely managed sanitation services rural (% of rural population),SH.STA.SMSS.RU.ZS,18.3308701,19.68661037,21.11391264,22.59202006,24.12771846,25.72728521,27.38719999,29.10726545,30.88523643,32.72115775,34.61454268,36.56188877
Early-demographic dividend,EAR,People using safely managed sanitation services rural (% of rural population),SH.STA.SMSS.RU.ZS,22.38024049,24.40346911,26.44966044,28.51660732,30.60666042,32.71665194,34.89051491,37.08090689,39.28790938,41.4350054,43.5229299,45.60815598
East Asia & Pacific,EAS,People using safely managed sanitation services rural (% of rural population),SH.STA.SMSS.RU.ZS,21.56039004,22.84390866,24.19583872,25.64568519,27.16473881,28.73884431,30.36818343,32.05345258,33.79259026,35.58150187,37.41778831,39.30092596
Europe & Central Asia,ECS,People using safely managed sanitation services rural (% of rural population),SH.STA.SMSS.RU.ZS,64.10636738,64.40954332,64.7673247,65.14444989,65.51835238,65.88569174,66.25173372,66.63320186,66.98329789,67.43269685,67.80709777,68.35568223
Ecuador,ECU,People using safely managed sanitation services rural (% of rural population),SH.STA.SMSS.RU.ZS,48.98590422,49.84083842,50.69823234,51.558086,52.42039938,53.28517249,54.15240534,55.02209791,55.89425022,56.76886225,57.64593402,58.52546551
Egypt Arab Rep.,EGY,People using safely managed sanitation services rural (% of rural population),SH.STA.SMSS.RU.ZS,50.9518279,51.93566916,52.92399832,53.91681536,54.91412029,55.91591311,56.92219381,57.9329624,58.94821888,59.96796325,60.99219551,62.02091565
Ethiopia,ETH,People using safely managed sanitation services rural (% of rural population),SH.STA.SMSS.RU.ZS,2.134505337,2.324653684,2.510033817,2.690645735,2.866489438,3.036777902,3.202196874,3.362750594,3.518443306,3.669279249,3.815262666,3.956397797
Fiji,FJI,People using safely managed sanitation services rural (% of rural population),SH.STA.SMSS.RU.ZS,49.11844097,49.89936508,50.67526233,51.44613271,52.21197622,52.97279286,53.72858264,54.47934555,55.2250816,55.96579077,56.70147308,57.43212853
United Kingdom,GBR,People using safely managed sanitation services rural (% of rural population),SH.STA.SMSS.RU.ZS,93.53012155,93.54025251,93.55038346,93.56051442,93.57064537,93.57627368,93.57627368,93.57627368,93.57627368,93.57627368,93.57627368,93.57627368
Georgia,GEO,People using safely managed sanitation services rural (% of rural population),SH.STA.SMSS.RU.ZS,49.78165541,49.03013514,48.27819602,47.52583804,46.77306121,46.01986553,45.26158681,44.5025458,43.74274224,42.98217583,42.2208463,41.45875337
Ghana,GHA,People using safely managed sanitation services rural (% of rural population),SH.STA.SMSS.RU.ZS,6.395124643,7.120253638,7.865383655,8.630514691,9.415646748,10.22077983,11.04591392,11.89104904,12.75618518,13.64132234,14.54646052,15.47159972
Gambia The,GMB,People using safely managed sanitation services rural (% of rural population),SH.STA.SMSS.RU.ZS,44.56429145,43.02448036,41.48053342,39.93245064,38.38023202,36.82387757,35.26338728,33.69876114,32.12999917,30.55710136,28.98006772,27.39889823
Guinea-Bissau,GNB,People using safely managed sanitation services rural (% of rural population),SH.STA.SMSS.RU.ZS,2.57726429,3.178851312,3.783935131,4.392515745,5.004593155,5.620167362,6.239238364,6.861806163,7.487870758,8.117432149,8.750490336,9.387045319
Guyana,GUY,People using safely managed sanitation services rural (% of rural population),SH.STA.SMSS.RU.ZS,55.78153416,55.22622615,54.67042296,54.11412458,53.55733103,53.00004229,52.44225837,51.88397927,51.32520499,50.76593552,50.20617088,49.64591105
High income,HIC,People using safely managed sanitation services rural (% of rural population),SH.STA.SMSS.RU.ZS,78.80650262,79.02053766,79.296783,79.61395141,79.94762429,80.27975547,80.58185539,80.91800703,81.24576332,81.57927947,81.83707016,82.07429573
