Country Name,Country Code,Indicator Name,Indicator Code,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Africa Eastern and Southern,AFE,People using safely managed sanitation services urban (% of urban population),SH.STA.SMSS.UR.ZS,32.85033279,32.87209538,32.88827387,33.0558597,33.22390318,33.40046496,33.56434891,33.74753648,33.81094949,33.83328358,33.89168594,33.91088756
Africa Western and Central,AFW,People using safely managed sanitation services urban (% of urban population),SH.STA.SMSS.UR.ZS,19.24322784,19.81474839,20.36878468,20.93482831,21.50824156,22.08660722,22.66504176,23.2446464,23.83123701,24.42173656,25.01366115,25.6071162
Albania,ALB,People using safely managed sanitation services urban (% of urban population),SH.STA.SMSS.UR.ZS,26.38643635,26.71188048,27.03791243,27.36453221,27.69173981,29.75528922,31.85502516,33.99030755,36.16049346,38.36493709,40.60298977,42.87399996
Andorra,AND,People using safely managed sanitation services urban (% of urban population),SH.STA.SMSS.UR.ZS,66.05989075,70.6535993,75.24730784,79.84101639,84.43472493,89.02843348,93.62214202,98.21585057,100.0,100.0,100.0,100.0
Arab World,ARB,People using safely managed sanitation services urban (% of urban population),SH.STA.SMSS.UR.ZS,61.89013333,62.23788166,62.42950405,62.78444379,63.07711422,63.51482999,63.97298298,64.58664513,65.11311976,65.52020255,65.85946698,66.21004775
United Arab Emirates,ARE,People using safely managed sanitation services urban (% of urban population),SH.STA.SMSS.UR.ZS,98.42777207,98.42777207,98.42777207,98.43033628,98.43290049,98.43546471,98.43802892,98.44059314,98.44315735,98.44572156,98.44828578,98.45084999
Argentina,ARG,People using safely managed sanitation services urban (% of urban population),SH.STA.SMSS.UR.ZS,45.2267775,45.33317144,45.43969024,45.54633391,45.65310243,45.75999582,45.86701407,45.97415718,46.08142515,46.18881798,46.29633567,46.25992798
Armenia,ARM,People using safely managed sanitation services urban (% of urban population),SH.STA.SMSS.UR.ZS,3.755355411,3.387533446,3.017205917,2.644372825,2.26903417,1.891189951,1.510840168,1.127984822,0.741595536,0.353128933,0.059991733,0.0
Austria,AUT,People using safely managed sanitation services urban (% of urban population),SH.STA.SMSS.UR.ZS,99.98158997,99.9784542,99.97531843,99.97218265,99.96904688,99.96591111,99.96277533,99.95963956,99.95650379,99.95336801,99.95336801,99.95336801
Azerbaijan,AZE,People using safely managed sanitation services urban (% of urban population),SH.STA.SMSS.UR.ZS,45.55250787,47.09521395,48.70956161,50.39755445,52.16121131,54.00256627,55.30588625,56.46420394,57.10349034,57.79309351,58.53335455,59.32461457
Benin,BEN,People using safely managed sanitation services urban (% of urban population),SH.STA.SMSS.UR.ZS,2.76021445,2.834213766,2.903146774,2.972868957,3.043380314,3.114680845,3.186770549,3.259649428,3.33331748,3.407774706,3.483021107,3.559056681
Burkina Faso,BFA,People using safely managed sanitation services urban (% of urban population),SH.STA.SMSS.UR.ZS,13.40509975,13.29747259,13.18841758,13.07793472,12.96602401,12.85268544,12.73791903,12.62172476,12.50410264,12.38505267,12.26457485,12.14266917
Bangladesh,BGD,People using safely managed sanitation services urban (% of urban population),SH.STA.SMSS.UR.ZS,25.76448322,25.99194061,26.21544183,26.43498689,26.65057578,26.8622085,27.06988506,27.27360544,27.47336967,27.66917772,27.86102961,28.04892532
Bulgaria,BGR,People using safely managed sanitation services urban (% of urban population),SH.STA.SMSS.UR.ZS,62.8347237,63.70952376,64.59695836,65.49707829,66.40993435,67.33557732,68.40957978,69.56486808,70.73347085,71.91543891,72.96084099,74.00963563
Bosnia and Herzegovina,BIH,People using safely managed sanitation services urban (% of urban population),SH.STA.SMSS.UR.ZS,4.905066024,4.711568051,7.962101114,11.59004321,15.3806503,19.42092119,23.69226968,28.1835449,32.83855658,37.65730471,42.63978929,47.78601032
