Data Source;World Development Indicators;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Last Updated Date;7/10/2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Aruba;ABW;People using at least basic drinking water services, rural (% of rural population);SH.H2O.BASW.RU.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Africa Eastern and Southern;AFE;People using at least basic drinking water services, rural (% of rural population);SH.H2O.BASW.RU.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26,83056932;27,55821634;28,28505548;29,03821261;29,81121571;30,67892165;31,56076186;32,43396844;33,35163134;34,28337162;35,21276241;36,20061169;37,09961907;37,99752867;38,89878306;39,81216947;40,70173576;41,66287497;42,59663412;43,52037714;44,40304804;45,28083864;46,14290537;;
Afghanistan;AFG;People using at least basic drinking water services, rural (% of rural population);SH.H2O.BASW.RU.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19,74517819;19,74517819;21,98189258;24,21860698;26,45532138;28,69203578;30,92875017;33,45633546;36,02315403;38,62920588;41,27449103;43,95900946;46,68276118;49,44574619;52,24796448;55,08941606;57,97010093;60,89001909;63,84917053;66,84755526;69,88517328;72,96202458;76,07810917;;
Africa Western and Central;AFW;People using at least basic drinking water services, rural (% of rural population);SH.H2O.BASW.RU.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36,95130559;37,86242872;38,82524146;39,78533824;40,7539684;41,7294581;42,70559299;43,68111578;44,65416837;45,62642857;46,59891998;47,58167315;48,56387478;49,54461513;50,53152296;51,51902975;52,50059071;53,47876076;54,48040953;55,43817222;56,39267308;57,42017637;58,56819855;;
Angola;AGO;People using at least basic drinking water services, rural (% of rural population);SH.H2O.BASW.RU.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21,15264072;21,52821595;21,90310643;22,27731214;22,6508331;23,02366929;23,39582072;23,7672874;24,13806931;24,50816646;24,87757885;25,24630648;25,61434935;25,98170746;26,34838081;26,7143694;27,07967323;27,4442923;27,80822661;27,80822661;27,80822661;27,80822661;27,80822661;;
Albania;ALB;People using at least basic drinking water services, rural (% of rural population);SH.H2O.BASW.RU.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;80,42315749;81,09465241;81,76740156;82,44140493;83,11666251;83,79317432;84,47094035;85,14996061;85,83023508;86,51176378;87,1945467;87,87858383;88,5638752;89,25042078;89,93822058;90,62727461;91,31758285;92,00914532;92,70196201;93,39603293;94,09135806;94,09135806;94,09135806;;
Andorra;AND;People using at least basic drinking water services, rural (% of rural population);SH.H2O.BASW.RU.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;;
Arab World;ARB;People using at least basic drinking water services, rural (% of rural population);SH.H2O.BASW.RU.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;65,02965747;65,36410226;65,73421333;66,27471545;66,81125057;67,52727259;68,27850183;68,9223729;69,69079877;70,43684773;71,17154086;72,05267358;72,90382063;73,67756064;74,39783916;75,12055635;75,84789091;76,53496326;77,20744949;77,91614047;78,62771979;79,14541491;79,35874813;;
United Arab Emirates;ARE;People using at least basic drinking water services, rural (% of rural population);SH.H2O.BASW.RU.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99,98866533;99,98866533;99,98933267;99,99;99,99066733;99,99133467;99,992002;99,99266933;99,99333667;99,994004;99,99467133;99,99533867;99,996006;99,99667333;99,99734067;99,998008;99,99867533;99,99934267;100;100;100;100;100;;
Argentina;ARG;People using at least basic drinking water services, rural (% of rural population);SH.H2O.BASW.RU.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;76,4046815;77,78626304;79,16784459;80,54942614;81,93100768;83,31258923;84,69417077;86,07575232;87,45733387;88,83891541;90,22049696;91,6020785;92,98366005;92,98366005;92,98366005;92,98366005;92,98366005;;;;;;;;
Armenia;ARM;People using at least basic drinking water services, rural (% of rural population);SH.H2O.BASW.RU.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89,08573352;89,74568483;90,40806419;91,07287159;91,74010703;92,40977051;93,08186204;93,7563816;94,43332921;95,11270487;95,79450856;96,4787403;97,16540009;97,85448791;98,54600378;99,05152573;99,02824675;99,00514894;100;100;100;100;100;;
American Samoa;ASM;People using at least basic drinking water services, rural (% of rural population);SH.H2O.BASW.RU.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Antigua and Barbuda;ATG;People using at least basic drinking water services, rural (% of rural population);SH.H2O.BASW.RU.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;98,34895634;98,34895634;98,34895634;98,34895634;98,34895634;98,34895634;98,34895634;98,34895634;98,34895634;98,34895634;98,34895634;98,34895634;98,34895634;98,34895634;;
Australia;AUS;People using at least basic drinking water services, rural (% of rural population);SH.H2O.BASW.RU.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99,05666667;99,05666667;99,05666667;99,13833333;99,22;99,30166667;99,38333333;99,465;99,54666667;99,62833333;99,70003;99,70027475;99,7005191;99,70076305;100;100;100;100;100;100;100;100;100;;
Austria;AUT;People using at least basic drinking water services, rural (% of rural population);SH.H2O.BASW.RU.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;;
Azerbaijan;AZE;People using at least basic drinking water services, rural (% of rural population);SH.H2O.BASW.RU.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54,13600314;55,97305361;57,83743147;59,72913671;61,64816934;63,59452936;65,56821676;67,56923155;69,59757372;71,65324328;73,73624023;75,84656456;77,98421628;80,14919539;82,34150188;84,56113576;85,9802529;87,39937004;88,81848718;90,23760431;91,65672145;93,07583859;94,49495573;;
Burundi;BDI;People using at least basic drinking water services, rural (% of rural population);SH.H2O.BASW.RU.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47,84252522;48,34401929;48,84735461;49,35253118;49,85954898;50,36840803;50,87910832;51,39164986;51,90603264;52,42225666;52,94032193;53,46022843;53,98197619;54,50556518;55,03099542;55,55826691;56,08737963;56,6183336;57,15112881;57,68576527;57,68576527;57,68576527;57,68576527;;
Belgium;BEL;People using at least basic drinking water services, rural (% of rural population);SH.H2O.BASW.RU.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;;
Benin;BEN;People using at least basic drinking water services, rural (% of rural population);SH.H2O.BASW.RU.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;52,18433284;52,57397415;52,96386816;53,35401486;53,74441426;54,13506635;54,52597113;54,91712861;55,30853878;55,70020165;56,09211721;56,48428546;56,87670641;57,26938006;57,6623064;58,05548543;58,44891716;58,84260158;59,2365387;59,63072851;60,02517101;60,39947841;60,77378581;;
Burkina Faso;BFA;People using at least basic drinking water services, rural (% of rural population);SH.H2O.BASW.RU.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;52,93472424;52,93472424;52,09583633;51,24202511;50,37329057;49,48963271;48,59105154;47,67754706;46,74911926;45,80576815;44,84749373;43,87429599;42,88617494;41,88313057;40,86516289;39,8322719;38,78445759;37,72171997;36,64405903;35,55147478;34,44396722;34,64000644;34,83604565;;
