Country Name,Country Code,Indicator Name,Indicator Code,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Africa Eastern and Southern,AFE,People using at least basic drinking water services rural (% of rural population),SH.H2O.BASW.RU.ZS,33.35163134,34.28337162,35.21276241,36.20061169,37.09961907,37.99752867,38.89878306,39.81216947,40.70173576,41.66287497,42.59663412,43.52037714
Afghanistan,AFG,People using at least basic drinking water services rural (% of rural population),SH.H2O.BASW.RU.ZS,36.02315403,38.62920588,41.27449103,43.95900946,46.68276118,49.44574619,52.24796448,55.08941606,57.97010093,60.89001909,63.84917053,66.84755526
Africa Western and Central,AFW,People using at least basic drinking water services rural (% of rural population),SH.H2O.BASW.RU.ZS,44.65416837,45.62642857,46.59891998,47.58167315,48.56387478,49.54461513,50.53152296,51.51902975,52.50059071,53.47876076,54.48040953,55.43817222
Angola,AGO,People using at least basic drinking water services rural (% of rural population),SH.H2O.BASW.RU.ZS,24.13806931,24.50816646,24.87757885,25.24630648,25.61434935,25.98170746,26.34838081,26.7143694,27.07967323,27.4442923,27.80822661,27.80822661
Albania,ALB,People using at least basic drinking water services rural (% of rural population),SH.H2O.BASW.RU.ZS,85.83023508,86.51176378,87.1945467,87.87858383,88.5638752,89.25042078,89.93822058,90.62727461,91.31758285,92.00914532,92.70196201,93.39603293
Andorra,AND,People using at least basic drinking water services rural (% of rural population),SH.H2O.BASW.RU.ZS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Arab World,ARB,People using at least basic drinking water services rural (% of rural population),SH.H2O.BASW.RU.ZS,69.69079877,70.43684773,71.17154086,72.05267358,72.90382063,73.67756064,74.39783916,75.12055635,75.84789091,76.53496326,77.20744949,77.91614047
United Arab Emirates,ARE,People using at least basic drinking water services rural (% of rural population),SH.H2O.BASW.RU.ZS,99.99333667,99.994004,99.99467133,99.99533867,99.996006,99.99667333,99.99734067,99.998008,99.99867533,99.99934267,100.0,100.0
Argentina,ARG,People using at least basic drinking water services rural (% of rural population),SH.H2O.BASW.RU.ZS,87.45733387,88.83891541,90.22049696,91.6020785,92.98366005,92.98366005,92.98366005,92.98366005,92.98366005,92.98366005,92.98366005,92.98366005
Armenia,ARM,People using at least basic drinking water services rural (% of rural population),SH.H2O.BASW.RU.ZS,94.43332921,95.11270487,95.79450856,96.4787403,97.16540009,97.85448791,98.54600378,99.05152573,99.02824675,99.00514894,100.0,100.0
Australia,AUS,People using at least basic drinking water services rural (% of rural population),SH.H2O.BASW.RU.ZS,99.54666667,99.62833333,99.70003,99.70027475,99.7005191,99.70076305,100.0,100.0,100.0,100.0,100.0,100.0
Austria,AUT,People using at least basic drinking water services rural (% of rural population),SH.H2O.BASW.RU.ZS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Azerbaijan,AZE,People using at least basic drinking water services rural (% of rural population),SH.H2O.BASW.RU.ZS,69.59757372,71.65324328,73.73624023,75.84656456,77.98421628,80.14919539,82.34150188,84.56113576,85.9802529,87.39937004,88.81848718,90.23760431
