Country Name,Country Code,Indicator Name,Indicator Code,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Africa Eastern and Southern,AFE,People using at least basic drinking water services urban (% of urban population),SH.H2O.BASW.UR.ZS,79.15803346,79.26423019,79.37182419,79.1999093,79.34055687,79.47980306,79.62291651,79.78046932,79.89542773,79.94485561,80.08564721,80.1869928
Afghanistan,AFG,People using at least basic drinking water services urban (% of urban population),SH.H2O.BASW.UR.ZS,68.65374491,70.86550402,73.09181642,75.33268209,77.58810104,79.85807328,82.14259879,84.44167759,86.75530967,89.08349502,91.42623366,93.78352558
Africa Western and Central,AFW,People using at least basic drinking water services urban (% of urban population),SH.H2O.BASW.UR.ZS,80.29694012,80.94949635,81.61380762,82.29869022,82.99515358,83.70389074,84.42092439,85.14809064,85.87737015,86.6125093,87.40084428,88.14706978
Angola,AGO,People using at least basic drinking water services urban (% of urban population),SH.H2O.BASW.UR.ZS,66.40211952,66.97013324,67.53061123,68.08355348,68.62896,69.16683077,69.69716582,70.21996512,70.73522869,71.24295652,71.74314862,71.74314862
Albania,ALB,People using at least basic drinking water services urban (% of urban population),SH.H2O.BASW.UR.ZS,95.12373941,95.1707211,95.21734354,95.26360672,95.30951066,95.35505535,95.40024078,95.44506696,95.4895339,95.53364158,95.57739001,95.62077919
Andorra,AND,People using at least basic drinking water services urban (% of urban population),SH.H2O.BASW.UR.ZS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Arab World,ARB,People using at least basic drinking water services urban (% of urban population),SH.H2O.BASW.UR.ZS,92.62306529,92.74670069,92.87048629,93.01835053,93.18682024,93.34015901,93.48988313,94.17179514,94.29800792,94.39364826,94.6334131,94.7294893
United Arab Emirates,ARE,People using at least basic drinking water services urban (% of urban population),SH.H2O.BASW.UR.ZS,99.72,99.748,99.776,99.804,99.832,99.86,99.888,99.916,99.944,99.972,100.0,100.0
Argentina,ARG,People using at least basic drinking water services urban (% of urban population),SH.H2O.BASW.UR.ZS,99.15019202,99.20578546,99.26137889,99.31697233,99.37256577,99.4281592,99.48375264,99.53934608,99.59493951,99.65053295,99.70612639,99.76171982
Armenia,ARM,People using at least basic drinking water services urban (% of urban population),SH.H2O.BASW.UR.ZS,99.34085848,99.41540785,99.48997997,99.56457485,99.63919249,99.71383288,99.78011143,99.80136501,99.82261858,99.84387215,99.86512573,99.8863793
Australia,AUS,People using at least basic drinking water services urban (% of urban population),SH.H2O.BASW.UR.ZS,99.895,99.905,99.915,99.925,99.935,99.945,99.955,99.965,99.965,99.965,99.965,99.965
Austria,AUT,People using at least basic drinking water services urban (% of urban population),SH.H2O.BASW.UR.ZS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Azerbaijan,AZE,People using at least basic drinking water services urban (% of urban population),SH.H2O.BASW.UR.ZS,95.69294092,96.20298272,96.71425966,97.22677175,97.74051899,98.25550138,98.77171891,99.19758699,99.38042164,99.56325629,99.74609095,99.9289256
Burundi,BDI,People using at least basic drinking water services urban (% of urban population),SH.H2O.BASW.UR.ZS,85.69894392,86.15315591,86.60689217,87.0601527,87.51293751,87.9652466,88.41707995,88.86843759,89.31931949,89.76972568,90.21965613,90.66911086
